periodo,transacciones,fraudes,tasa_fraude,monto_mediano,monto_total
"(-0.182, 18.2]",76210,2045,0.02683374885185671,72.95,9739282.855
"(18.2, 36.4]",79510,2138,0.026889699408879385,75.0,10242914.258
"(36.4, 54.6]",52200,2098,0.04019157088122605,61.95,7038055.705
"(54.6, 72.8]",55983,2484,0.04437061250736831,63.924,7673737.854
"(72.8, 91.0]",56024,2117,0.03778737683849779,67.95,8018757.087
"(91.0, 109.2]",60888,2129,0.03496583891735646,74.679,8479714.179
"(109.2, 127.399]",57310,2353,0.041057407084278484,68.95,7783981.33
"(127.399, 145.599]",47778,1737,0.03635564485746578,63.324,6362237.114
"(145.599, 163.799]",54101,1657,0.030627899669137353,69.0,7414665.471
"(163.799, 181.999]",50536,1905,0.037695899952509104,67.95,6985602.882
