split,gap_dias,transacciones,fraudes,tasa_fraude,monto_mediano,monto_total,tiempo_inicio,tiempo_fin,dia_inicio_relativo,dia_fin_relativo
train,1,380815,13011,0.03416619618449904,69.28,51192461.938,86400,9521218,0.0,109.19928240740741
gap_1,1,2970,110,0.037037037037037035,67.95,413184.22,9521270,9607636,109.19988425925926,110.19949074074074
validation,1,102118,3980,0.0389745196733191,67.95,13733034.224,9607725,12666174,110.20052083333333,145.5992361111111
gap_2,1,2944,91,0.03091032608695652,75.0,406342.561,12666219,12752577,145.59975694444444,146.59927083333332
test,1,101693,3471,0.03413214282202315,68.5,13993925.792,12752611,15811131,146.59966435185186,181.99920138888888
train,3,380815,13011,0.03416619618449904,69.28,51192461.938,86400,9521218,0.0,109.19928240740741
gap_1,3,9325,372,0.039892761394101875,67.95,1324445.816,9521270,9780428,109.19988425925926,112.19939814814815
validation,3,95763,3718,0.038825015924730845,67.95,12821772.628,9780458,12666174,112.19974537037037,145.5992361111111
gap_2,3,8498,250,0.029418686749823487,75.0,1227895.351,12666219,12925342,145.59975694444444,148.59886574074073
test,3,96139,3312,0.03445011909838879,68.5,13172373.002,12925387,15811131,148.59938657407406,181.99920138888888
train,7,380815,13011,0.03416619618449904,69.28,51192461.938,86400,9521218,0.0,109.19928240740741
gap_1,7,20995,1015,0.048344844010478685,67.791,2828431.646,9521270,10125995,109.19988425925926,116.1990162037037
validation,7,84093,3075,0.03656665834254932,67.95,11317786.798,10126067,12666174,116.19984953703704,145.5992361111111
gap_2,7,20404,602,0.02950401881983925,72.15,2835906.568,12666219,13270942,145.59975694444444,152.59886574074073
test,7,84233,2960,0.035140621846544706,68.5,11564361.785,13270993,15811131,152.5994560185185,181.99920138888888
